"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se398","VerdeR",198,198,92,92,98,98,115,115,200,200,151,160,115,115,114,114,190,190,99,102,209,211,163,163,133,133,117,117
"Se399","VerdeR",198,198,92,92,98,98,115,115,200,200,151,160,115,115,114,114,190,190,99,102,209,211,163,163,133,133,117,117
"Se400","VerdeR",186,192,92,92,98,98,115,115,200,200,149,160,115,115,114,114,190,190,99,102,213,213,163,163,133,133,117,117
"Se511","VirginR",192,192,92,92,98,98,109,115,197,200,151,156,113,113,114,114,190,190,96,99,209,209,163,163,137,137,117,117
"Se512","VirginR",192,192,92,92,98,98,,,200,200,151,160,115,115,114,114,190,190,96,102,201,215,163,163,133,137,117,117
"Se513","VirginR",192,192,92,92,98,98,115,115,200,203,151,160,115,115,114,114,190,190,102,102,201,201,163,163,137,137,117,117
"Se514","VirginR",192,192,92,92,98,98,109,115,200,200,151,160,113,113,114,133,163,190,99,99,209,209,163,163,133,137,117,117
"Se515","VirginR",192,192,92,94,98,98,115,115,200,200,151,151,115,115,114,114,190,190,96,102,201,213,163,163,137,137,117,117
"Se516","VirginR",192,192,92,92,98,98,115,115,197,200,149,151,115,115,114,114,190,190,96,102,209,209,163,163,137,137,117,117
"Se517","VirginR",192,192,92,94,98,98,115,115,200,200,149,160,115,115,114,114,190,190,96,99,201,201,163,163,133,133,117,117
"Se518","VirginR",192,192,92,94,98,98,115,115,200,200,149,160,115,115,114,114,190,190,96,99,201,201,163,163,133,133,117,117
"Se519","VirginR",183,183,92,92,98,98,109,115,200,209,149,151,113,113,114,114,163,163,96,99,201,207,163,163,133,137,117,117
"Se520","VirginR",192,192,92,92,98,98,115,115,200,200,149,160,113,113,114,114,190,190,96,102,209,209,163,163,133,133,117,117
"Se521","VirginR",192,192,92,94,98,98,115,115,200,200,151,151,113,113,114,114,190,190,96,102,209,209,163,163,137,137,117,117
"Se522","VirginR",183,192,92,94,98,98,115,115,197,203,148,148,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se523","VirginR",192,192,92,92,98,98,115,115,200,200,149,151,115,115,114,114,190,190,102,102,201,209,163,163,133,137,117,117
"Se524","VirginR",192,192,92,92,98,98,109,115,197,200,151,151,115,115,114,114,190,190,99,102,201,209,163,163,133,137,117,117
"Se525","VirginR",192,192,92,92,98,98,115,115,200,200,156,156,115,115,114,114,190,190,102,102,201,209,163,163,131,137,117,117
"Se526","VirginR",192,192,92,94,98,98,115,115,197,200,151,160,115,115,114,114,190,190,99,102,201,209,163,163,137,137,117,117
